Índice,Autovalor (λ),Raiz (√λ = kc),kc * r
1,4.884981308350801e-10,2.2101993820356573e-05,2.2101993820356572e-07
2,98733.06181553783,314.2181755015738,3.142181755015738
3,395373.0554380949,628.7869714283963,6.287869714283963
4,395400.7038064094,628.8089565252783,6.288089565252783
5,494442.773175751,703.1662486039493,7.031662486039493
6,792024.4394628248,889.9575492476171,8.89957549247617
7,891264.7383124704,944.0681852029918,9.440681852029918
8,1289446.0614056964,1135.5377851069934,11.355377851069933
9,1588685.3299459137,1260.4306129041431,12.604306129041431
10,1588999.5113086158,1260.5552392928348,12.605552392928349
11,1688995.6655417182,1299.6136601089256,12.996136601089257
12,1989044.056705047,1410.334732148736,14.10334732148736
13,1989482.5199350477,1410.490170095151,14.10490170095151
14,2490633.435420942,1578.1740827364204,15.781740827364205
15,2491599.2852795036,1578.4800553949053,15.784800553949054
16,2893627.725069251,1701.0666433356605,17.010666433356604
17,3197815.358502585,1788.2436518837653,17.882436518837654
18,3601334.4093361674,1897.7182112569208,18.977182112569206
19,3602983.9105276014,1898.1527626952477,18.981527626952477
20,3704671.945887914,1924.7524375586368,19.24752437558637
21,4007597.0826712474,2001.8983697159172,20.01898369715917
22,4010128.1788375913,2002.5304439227862,20.025304439227863
23,4111030.892139529,2027.56772812637,20.2756772812637
24,4520171.916983912,2126.0695936360858,21.260695936360857
25,4926856.094110898,2219.652246211306,22.196522462113062
26,5236242.261237549,2288.283693346948,22.88283693346948
27,5237443.286585214,2288.546107594342,22.88546107594342
28,5337078.599756537,2310.2118084185563,23.102118084185562
