Índice,Autovalor (λ),Raiz (√λ = kc),kc * r
1,494441.02853101795,703.1650080393775,7.031650080393775
2,792038.8840311198,889.965664523705,8.89965664523705
3,1289543.78110015,1135.5808122278881,11.355808122278882
4,1688950.3268686696,1299.5962168568626,12.995962168568626
5,1989269.8838268928,1410.4147914095672,14.104147914095673
6,1989388.757612026,1410.456932207441,14.104569322074411
7,2491545.286907072,1578.462950755282,15.78462950755282
8,2894255.917247247,1701.2512798664538,17.012512798664538
9,3197891.13495516,1788.2648391541898,17.8826483915419
10,3704701.5981512354,1924.7601404204202,19.2476014042042
11,4008913.0321290535,2002.2270181298256,20.022270181298257
12,4009907.1020033904,2002.4752437928892,20.024752437928893
13,4111007.1419641264,2027.5618713035926,20.275618713035925
14,4519903.601347743,2126.0064913700858,21.26006491370086
15,5236345.224306894,2288.3061911175464,22.883061911175464
16,5237233.992488783,2288.500380705405,22.88500380705405
17,5337589.566372482,2310.3223944662964,23.103223944662965
18,6164378.477352641,2482.8166419114887,24.828166419114886
19,6575879.519055069,2564.3477765418384,25.643477765418385
20,6579516.098035639,2565.056743628811,25.65056743628811
21,6887827.919921423,2624.467168764247,26.244671687642473
22,6891556.318703936,2625.1773880452224,26.251773880452223
23,7307682.14214337,2703.2724875867343,27.032724875867345
24,7412998.256427257,2722.6821805762156,27.226821805762157
25,8140898.113815749,2853.2259135609556,28.532259135609557
26,8145773.156957943,2854.080089443522,28.540800894435222
27,8664492.008581618,2943.5509182926694,29.435509182926694
28,8667667.671149578,2944.090296025171,29.440902960251712
